,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,OrderYear,OrderMonth,OrderDay,OrderDayOfWeek,IsWeekend,OrderWeek,Rolling_Avg_7,Rolling_Avg_30,Lag_1,Lag_2,Lag_6,Sales Channel_Distributor,Sales Channel_In-Store,Sales Channel_Online,Sales Channel_Wholesale,WarehouseCode_WARE-MKL1006,WarehouseCode_WARE-NBV1002,WarehouseCode_WARE-NMK1003,WarehouseCode_WARE-PUJ1005,WarehouseCode_WARE-UHY1004,WarehouseCode_WARE-XYS1001
0,38,6,0.1,124.62,201.0,2018,1,6,5,1,1,2205.2571428571428,0.0,1956.4,3879.3,1822.4,True,False,False,False,False,False,False,False,False,True
1,20,4,0.1,4130.01,5581.1,2018,1,6,5,1,1,2183.2428571428572,2633.9933333333333,984.9,1239.5,1051.9,False,True,False,False,True,False,False,False,False,False
2,3,4,0.1,393.96,984.9,2018,1,6,5,1,1,2603.4285714285716,2562.5266666666666,1239.5,1112.2,6277.9,False,True,False,False,False,False,False,False,False,True
3,6,3,0.075,904.84,1239.5,2018,1,6,5,1,1,2314.3714285714286,2502.673333333333,1112.2,3932.9,201.0,False,True,False,False,False,False,False,True,False,False
4,25,3,0.05,700.69,1112.2,2018,1,6,5,1,1,2022.4428571428573,2365.5466666666666,3932.9,254.6,1956.4,False,True,False,False,True,False,False,False,False,False
5,6,6,0.15,3146.32,3932.9,2018,1,6,5,1,1,2121.985714285714,0.0,254.6,1051.9,3879.3,False,True,False,False,False,False,True,False,False,False
6,32,6,0.15,216.41,254.6,2018,1,6,5,1,1,2010.0,0.0,1051.9,6277.9,1815.7,False,True,False,False,False,False,False,True,False,False
7,39,5,0.05,641.66,1051.9,2018,1,6,5,1,1,2112.4142857142856,0.0,6277.9,201.0,1192.6,False,True,False,False,False,False,False,True,False,False
8,40,5,0.15,2762.28,6277.9,2018,1,6,5,1,1,2507.714285714286,0.0,201.0,1956.4,1038.5,False,True,False,False,False,False,True,False,False,False
9,24,4,0.05,1795.33,3095.4,2018,1,6,5,1,1,2592.9,2759.2833333333333,5581.1,984.9,254.6,False,False,True,False,False,False,True,False,False,False
10,33,4,0.4,1754.06,2278.0,2018,1,6,5,1,1,2697.2285714285713,2784.0733333333333,3095.4,5581.1,3932.9,False,False,False,True,False,False,True,False,False,False
11,47,4,0.3,2211.2,3879.3,2018,1,6,5,1,1,2337.342857142857,0.0,1815.7,1192.6,1775.5,False,True,False,False,False,False,False,True,False,False
12,13,8,0.05,1212.97,1956.4,2018,1,6,5,1,1,2339.2571428571428,0.0,3879.3,1815.7,2324.9,False,True,False,False,False,False,False,False,True,False
13,45,1,0.075,527.63,837.5,2018,1,7,6,1,1,1645.3285714285714,2047.2966666666666,1252.9,1125.6,1092.1,False,False,False,True,True,False,False,False,False,False
14,40,1,0.075,773.85,1031.8,2018,1,7,6,1,1,1350.5285714285712,2047.9666666666667,837.5,1252.9,1748.7,False,False,False,True,False,False,False,True,False,False
15,28,4,0.15,1454.97,2385.2,2018,1,7,6,1,1,1753.485714285714,2052.6566666666668,1031.8,837.5,891.1,False,False,True,False,False,False,False,False,True,False
16,30,2,0.05,1153.47,1802.3,2018,1,7,6,1,1,2139.214285714286,1896.5466666666666,2385.2,1031.8,3082.0,False,True,False,False,False,False,True,False,False,False
17,27,5,0.05,753.62,1018.4,2018,1,7,6,1,1,2747.9571428571426,1891.6333333333334,1802.3,2385.2,1125.6,False,False,False,True,False,False,False,True,False,False
18,40,7,0.4,1815.3,3946.3,2018,1,7,6,1,1,3137.5142857142855,1886.2733333333335,1018.4,1802.3,1252.9,False,False,True,False,False,False,True,False,False,False
19,15,7,0.2,2095.09,3953.0,2018,1,7,6,1,1,2926.942857142857,1794.9299999999998,3946.3,1018.4,837.5,False,True,False,False,False,False,True,False,False,False
